Congress,Name,State or Territory,Party,"House/Senate
Service"
41st (1869-1871),"LONG, Jefferson Franklin 1",GA,Republican,House
41st (1869-1871),"RAINEY, Joseph Hayne 2",SC,Republican,House
41st (1869-1871),"REVELS, Hiram Rhodes 3",MS,Republican,Senate
42nd (1871-1873),"DE LARGE, Robert Carlos 4",SC,Republican,House
42nd (1871-1873),"ELLIOTT, Robert Brown",SC,Republican,House
42nd (1871-1873),"RAINEY, Joseph Hayne",SC,Republican,House
42nd (1871-1873),"TURNER, Benjamin Sterling",AL,Republican,House
42nd (1871-1873),"WALLS, Josiah Thomas 5",FL,Republican,House
43rd (1873-1875),"CAIN, Richard Harvey",SC,Republican,House
43rd (1873-1875),"ELLIOTT, Robert Brown 6",SC,Republican,House
43rd (1873-1875),"LYNCH, John Roy",MS,Republican,House
43rd (1873-1875),"RAINEY, Joseph Hayne",SC,Republican,House
43rd (1873-1875),"RANSIER, Alonzo Jacob",SC,Republican,House
43rd (1873-1875),"RAPIER, James Thomas",AL,Republican,House
43rd (1873-1875),"WALLS, Josiah Thomas",FL,Republican,House
44th (1875-1877),"BRUCE, Blanche Kelso",MS,Republican,Senate
44th (1875-1877),"HARALSON, Jeremiah",AL,Republican,House
44th (1875-1877),"HYMAN, John Adams",NC,Republican,House
44th (1875-1877),"LYNCH, John Roy",MS,Republican,House
44th (1875-1877),"NASH, Charles Edmund",LA,Republican,House
44th (1875-1877),"RAINEY, Joseph Hayne",SC,Republican,House
44th (1875-1877),"SMALLS, Robert",SC,Republican,House
44th (1875-1877),"WALLS, Josiah Thomas 7",FL,Republican,House
45th (1877-1879),"BRUCE, Blanche Kelso",MS,Republican,Senate
45th (1877-1879),"CAIN, Richard Harvey",SC,Republican,House
45th (1877-1879),"RAINEY, Joseph Hayne",SC,Republican,House
45th (1877-1879),"SMALLS, Robert",SC,Republican,House
46th (1879-1881),"BRUCE, Blanche Kelso",MS,Republican,Senate
47th (1881-1883),"LYNCH, John Roy 8",MS,Republican,House
47th (1881-1883),"SMALLS, Robert 9",SC,Republican,House
48th (1883-1885),"O'HARA, James Edward",NC,Republican,House
48th (1883-1885),"SMALLS, Robert 10",SC,Republican,House
49th (1885-1887),"O'HARA, James Edward",NC,Republican,House
49th (1885-1887),"SMALLS, Robert",SC,Republican,House
51st (1889-1891),"CHEATHAM, Henry Plummer",NC,Republican,House
51st (1889-1891),"LANGSTON, John Mercer 11",VA,Republican,House
51st (1889-1891),"MILLER, Thomas Ezekiel 12",SC,Republican,House
52nd (1891-1893),"CHEATHAM, Henry Plummer",NC,Republican,House
53rd (1893-1895),"MURRAY, George Washington",SC,Republican,House
54th (1895-1897),"MURRAY, George Washington 13",SC,Republican,House
55th (1897-1899),"WHITE, George Henry",NC,Republican,House
56th (1899-1901),"WHITE, George Henry",NC,Republican,House
71st (1929-1931),"DE PRIEST, Oscar Stanton",IL,Republican,House
72nd (1931-1933),"DE PRIEST, Oscar Stanton",IL,Republican,House
73rd (1933-1935),"DE PRIEST, Oscar Stanton",IL,Republican,House
74th (1935-1937),"MITCHELL, Arthur Wergs",IL,Democrat,House
75th (1937-1939),"MITCHELL, Arthur Wergs",IL,Democrat,House
76th (1939-1941),"MITCHELL, Arthur Wergs",IL,Democrat,House
77th (1941-1943),"MITCHELL, Arthur Wergs",IL,Democrat,House
78th (1943-1945),"DAWSON, William Levi",IL,Democrat,House
79th (1945-1947),"DAWSON, William Levi",IL,Democrat,House
79th (1945-1947),"POWELL, Adam Clayton, Jr.",NY,Democrat,House
80th (1947-1949),"DAWSON, William Levi",IL,Democrat,House
80th (1947-1949),"POWELL, Adam Clayton, Jr.",NY,Democrat,House
81st (1949-1951),"DAWSON, William Levi",IL,Democrat,House
81st (1949-1951),"POWELL, Adam Clayton, Jr.",NY,Democrat,House
82nd (1951-1953),"DAWSON, William Levi",IL,Democrat,House
82nd (1951-1953),"POWELL, Adam Clayton, Jr.",NY,Democrat,House
83rd (1953-1955),"DAWSON, William Levi",IL,Democrat,House
83rd (1953-1955),"POWELL, Adam Clayton, Jr.",NY,Democrat,House
84th (1955-1957),"DAWSON, William Levi",IL,Democrat,House
84th (1955-1957),"DIGGS, Charles Coles, Jr.",MI,Democrat,House
84th (1955-1957),"POWELL, Adam Clayton, Jr.",NY,Democrat,House
85th (1957-1959),"DAWSON, William Levi",IL,Democrat,House
85th (1957-1959),"DIGGS, Charles Coles, Jr.",MI,Democrat,House
85th (1957-1959),"NIX, Robert Nelson Cornelius, Sr. 14",PA,Democrat,House
85th (1957-1959),"POWELL, Adam Clayton, Jr.",NY,Democrat,House
86th (1959-1961),"DAWSON, William Levi",IL,Democrat,House
86th (1959-1961),"DIGGS, Charles Coles, Jr.",MI,Democrat,House
86th (1959-1961),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House
86th (1959-1961),"POWELL, Adam Clayton, Jr.",NY,Democrat,House
87th (1961-1963),"DAWSON, William Levi",IL,Democrat,House
87th (1961-1963),"DIGGS, Charles Coles, Jr.",MI,Democrat,House
87th (1961-1963),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House
87th (1961-1963),"POWELL, Adam Clayton, Jr.",NY,Democrat,House
88th (1963-1965),"DAWSON, William Levi",IL,Democrat,House
88th (1963-1965),"DIGGS, Charles Coles, Jr.",MI,Democrat,House
88th (1963-1965),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House
88th (1963-1965),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House
88th (1963-1965),"POWELL, Adam Clayton, Jr.",NY,Democrat,House
89th (1965-1967),"CONYERS, John, Jr.",MI,Democrat,House
89th (1965-1967),"DAWSON, William Levi",IL,Democrat,House
89th (1965-1967),"DIGGS, Charles Coles, Jr.",MI,Democrat,House
89th (1965-1967),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House
89th (1965-1967),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House
89th (1965-1967),"POWELL, Adam Clayton, Jr.",NY,Democrat,House
90th (1967-1969),"BROOKE, Edward William, III",MA,Republican,Senate
90th (1967-1969),"CONYERS, John, Jr.",MI,Democrat,House
90th (1967-1969),"DAWSON, William Levi",IL,Democrat,House
90th (1967-1969),"DIGGS, Charles Coles, Jr.",MI,Democrat,House
90th (1967-1969),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House
90th (1967-1969),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House
91st (1969-1971),"BROOKE, Edward William, III",MA,Republican,Senate
91st (1969-1971),"CHISHOLM, Shirley Anita",NY,Democrat,House
91st (1969-1971),"CLAY, William Lacy, Sr.",MO,Democrat,House
91st (1969-1971),"COLLINS, George Washington 15",IL,Democrat,House
91st (1969-1971),"CONYERS, John, Jr.",MI,Democrat,House
91st (1969-1971),"DAWSON, William Levi 16",IL,Democrat,House
91st (1969-1971),"DIGGS, Charles Coles, Jr.",MI,Democrat,House
91st (1969-1971),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House
91st (1969-1971),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House
91st (1969-1971),"POWELL, Adam Clayton, Jr.",NY,Democrat,House
91st (1969-1971),"STOKES, Louis",OH,Democrat,House
92nd (1971-1973),"BROOKE, Edward William, III",MA,Republican,Senate
92nd (1971-1973),"CHISHOLM, Shirley Anita",NY,Democrat,House
92nd (1971-1973),"CLAY, William Lacy, Sr.",MO,Democrat,House
92nd (1971-1973),"COLLINS, George Washington 17",IL,Democrat,House
92nd (1971-1973),"CONYERS, John, Jr.",MI,Democrat,House
92nd (1971-1973),"DELLUMS, Ronald V.",CA,Democrat,House
92nd (1971-1973),"DIGGS, Charles Coles, Jr.",MI,Democrat,House
92nd (1971-1973),"FAUNTROY, Walter Edward 18",DC,Democrat,House
92nd (1971-1973),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House
92nd (1971-1973),"METCALFE, Ralph Harold",IL,Democrat,House
92nd (1971-1973),"MITCHELL, Parren James",MD,Democrat,House
92nd (1971-1973),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House
92nd (1971-1973),"RANGEL, Charles B.",NY,Democrat,House
92nd (1971-1973),"STOKES, Louis",OH,Democrat,House
93rd (1973-1975),"BROOKE, Edward William, III",MA,Republican,Senate
93rd (1973-1975),"BURKE, Yvonne Brathwaite",CA,Democrat,House
93rd (1973-1975),"CHISHOLM, Shirley Anita",NY,Democrat,House
93rd (1973-1975),"CLAY, William Lacy, Sr.",MO,Democrat,House
93rd (1973-1975),"COLLINS, Cardiss 19",IL,Democrat,House
93rd (1973-1975),"CONYERS, John, Jr.",MI,Democrat,House
93rd (1973-1975),"DELLUMS, Ronald V.",CA,Democrat,House
93rd (1973-1975),"DIGGS, Charles Coles, Jr.",MI,Democrat,House
93rd (1973-1975),"FAUNTROY, Walter Edward",DC,Democrat,House
93rd (1973-1975),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House
93rd (1973-1975),"JORDAN, Barbara Charline",TX,Democrat,House
93rd (1973-1975),"METCALFE, Ralph Harold",IL,Democrat,House
93rd (1973-1975),"MITCHELL, Parren James",MD,Democrat,House
93rd (1973-1975),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House
93rd (1973-1975),"RANGEL, Charles B.",NY,Democrat,House
93rd (1973-1975),"STOKES, Louis",OH,Democrat,House
93rd (1973-1975),"YOUNG, Andrew Jackson, Jr.",GA,Democrat,House
94th (1975-1977),"BROOKE, Edward William, III",MA,Republican,Senate
94th (1975-1977),"BURKE, Yvonne Brathwaite",CA,Democrat,House
94th (1975-1977),"CHISHOLM, Shirley Anita",NY,Democrat,House
94th (1975-1977),"CLAY, William Lacy, Sr.",MO,Democrat,House
94th (1975-1977),"COLLINS, Cardiss",IL,Democrat,House
94th (1975-1977),"CONYERS, John, Jr.",MI,Democrat,House
94th (1975-1977),"DELLUMS, Ronald V.",CA,Democrat,House
94th (1975-1977),"DIGGS, Charles Coles, Jr.",MI,Democrat,House
94th (1975-1977),"FAUNTROY, Walter Edward",DC,Democrat,House
94th (1975-1977),"FORD, Harold Eugene",TN,Democrat,House
94th (1975-1977),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House
94th (1975-1977),"JORDAN, Barbara Charline",TX,Democrat,House
94th (1975-1977),"METCALFE, Ralph Harold",IL,Democrat,House
94th (1975-1977),"MITCHELL, Parren James",MD,Democrat,House
94th (1975-1977),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House
94th (1975-1977),"RANGEL, Charles B.",NY,Democrat,House
94th (1975-1977),"STOKES, Louis",OH,Democrat,House
94th (1975-1977),"YOUNG, Andrew Jackson, Jr.",GA,Democrat,House
95th (1977-1979),"BROOKE, Edward William, III",MA,Republican,Senate
95th (1977-1979),"BURKE, Yvonne Brathwaite",CA,Democrat,House
95th (1977-1979),"CHISHOLM, Shirley Anita",NY,Democrat,House
95th (1977-1979),"CLAY, William Lacy, Sr.",MO,Democrat,House
95th (1977-1979),"COLLINS, Cardiss",IL,Democrat,House
95th (1977-1979),"CONYERS, John, Jr.",MI,Democrat,House
95th (1977-1979),"DELLUMS, Ronald V.",CA,Democrat,House
95th (1977-1979),"DIGGS, Charles Coles, Jr.",MI,Democrat,House
95th (1977-1979),"FAUNTROY, Walter Edward",DC,Democrat,House
95th (1977-1979),"FORD, Harold Eugene",TN,Democrat,House
95th (1977-1979),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House
95th (1977-1979),"JORDAN, Barbara Charline",TX,Democrat,House
95th (1977-1979),"METCALFE, Ralph Harold 20",IL,Democrat,House
95th (1977-1979),"MITCHELL, Parren James",MD,Democrat,House
95th (1977-1979),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House
95th (1977-1979),"RANGEL, Charles B.",NY,Democrat,House
95th (1977-1979),"STOKES, Louis",OH,Democrat,House
95th (1977-1979),"YOUNG, Andrew Jackson, Jr. 21",GA,Democrat,House
96th (1979-1981),"CHISHOLM, Shirley Anita",NY,Democrat,House
96th (1979-1981),"CLAY, William Lacy, Sr.",MO,Democrat,House
96th (1979-1981),"COLLINS, Cardiss",IL,Democrat,House
96th (1979-1981),"CONYERS, John, Jr.",MI,Democrat,House
96th (1979-1981),"CROCKETT, George William, Jr. 22",MI,Democrat,House
96th (1979-1981),"DELLUMS, Ronald V.",CA,Democrat,House
96th (1979-1981),"DIGGS, Charles Coles, Jr. 23",MI,Democrat,House
96th (1979-1981),"DIXON, Julian Carey",CA,Democrat,House
96th (1979-1981),"EVANS, Melvin Herbert",VI,Republican,House
96th (1979-1981),"FAUNTROY, Walter Edward",DC,Democrat,House
96th (1979-1981),"FORD, Harold Eugene",TN,Democrat,House
96th (1979-1981),"GRAY, William Herbert, III",PA,Democrat,House
96th (1979-1981),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House
96th (1979-1981),"LELAND, George Thomas (Mickey)",TX,Democrat,House
96th (1979-1981),"MITCHELL, Parren James",MD,Democrat,House
96th (1979-1981),"RANGEL, Charles B.",NY,Democrat,House
96th (1979-1981),"STEWART, Bennett McVey",IL,Democrat,House
96th (1979-1981),"STOKES, Louis",OH,Democrat,House
97th (1981-1983),"CHISHOLM, Shirley Anita",NY,Democrat,House
97th (1981-1983),"CLAY, William Lacy, Sr.",MO,Democrat,House
97th (1981-1983),"COLLINS, Cardiss",IL,Democrat,House
97th (1981-1983),"CONYERS, John, Jr.",MI,Democrat,House
97th (1981-1983),"CROCKETT, George William, Jr.",MI,Democrat,House
97th (1981-1983),"DELLUMS, Ronald V.",CA,Democrat,House
97th (1981-1983),"DIXON, Julian Carey",CA,Democrat,House
97th (1981-1983),"DYMALLY, Mervyn Malcolm",CA,Democrat,House
97th (1981-1983),"FAUNTROY, Walter Edward",DC,Democrat,House
97th (1981-1983),"FORD, Harold Eugene",TN,Democrat,House
97th (1981-1983),"GRAY, William Herbert, III",PA,Democrat,House
97th (1981-1983),"HALL, Katie Beatrice 24",IN,Democrat,House
97th (1981-1983),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House
97th (1981-1983),"LELAND, George Thomas (Mickey)",TX,Democrat,House
97th (1981-1983),"MITCHELL, Parren James",MD,Democrat,House
97th (1981-1983),"RANGEL, Charles B.",NY,Democrat,House
97th (1981-1983),"SAVAGE, Gus",IL,Democrat,House
97th (1981-1983),"STOKES, Louis",OH,Democrat,House
97th (1981-1983),"WASHINGTON, Harold",IL,Democrat,House
98th (1983-1985),"CLAY, William Lacy, Sr.",MO,Democrat,House
98th (1983-1985),"COLLINS, Cardiss",IL,Democrat,House
98th (1983-1985),"CONYERS, John, Jr.",MI,Democrat,House
98th (1983-1985),"CROCKETT, George William, Jr.",MI,Democrat,House
98th (1983-1985),"DELLUMS, Ronald V.",CA,Democrat,House
98th (1983-1985),"DIXON, Julian Carey",CA,Democrat,House
98th (1983-1985),"DYMALLY, Mervyn Malcolm",CA,Democrat,House
98th (1983-1985),"FAUNTROY, Walter Edward",DC,Democrat,House
98th (1983-1985),"FORD, Harold Eugene",TN,Democrat,House
98th (1983-1985),"GRAY, William Herbert, III",PA,Democrat,House
98th (1983-1985),"HALL, Katie Beatrice",IN,Democrat,House
98th (1983-1985),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House
98th (1983-1985),"HAYES, Charles Arthur 25",IL,Democrat,House
98th (1983-1985),"LELAND, George Thomas (Mickey)",TX,Democrat,House
98th (1983-1985),"MITCHELL, Parren James",MD,Democrat,House
98th (1983-1985),"OWENS, Major Robert Odell",NY,Democrat,House
98th (1983-1985),"RANGEL, Charles B.",NY,Democrat,House
98th (1983-1985),"SAVAGE, Gus",IL,Democrat,House
98th (1983-1985),"STOKES, Louis",OH,Democrat,House
98th (1983-1985),"TOWNS, Edolphus",NY,Democrat,House
98th (1983-1985),"WASHINGTON, Harold 26",IL,Democrat,House
98th (1983-1985),"WHEAT, Alan Dupree",MO,Democrat,House
99th (1985-1987),"CLAY, William Lacy, Sr.",MO,Democrat,House
99th (1985-1987),"COLLINS, Cardiss",IL,Democrat,House
99th (1985-1987),"CONYERS, John, Jr.",MI,Democrat,House
99th (1985-1987),"CROCKETT, George William, Jr.",MI,Democrat,House
99th (1985-1987),"DELLUMS, Ronald V.",CA,Democrat,House
99th (1985-1987),"DIXON, Julian Carey",CA,Democrat,House
99th (1985-1987),"DYMALLY, Mervyn Malcolm",CA,Democrat,House
99th (1985-1987),"FAUNTROY, Walter Edward",DC,Democrat,House
99th (1985-1987),"FORD, Harold Eugene",TN,Democrat,House
99th (1985-1987),"GRAY, William Herbert, III",PA,Democrat,House
99th (1985-1987),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House
99th (1985-1987),"HAYES, Charles Arthur",IL,Democrat,House
99th (1985-1987),"LELAND, George Thomas (Mickey)",TX,Democrat,House
99th (1985-1987),"MITCHELL, Parren James",MD,Democrat,House
99th (1985-1987),"OWENS, Major Robert Odell",NY,Democrat,House
99th (1985-1987),"RANGEL, Charles B.",NY,Democrat,House
99th (1985-1987),"SAVAGE, Gus",IL,Democrat,House
99th (1985-1987),"STOKES, Louis",OH,Democrat,House
99th (1985-1987),"TOWNS, Edolphus",NY,Democrat,House
99th (1985-1987),"WALDON, Alton R., Jr. 27",NY,Democrat,House
99th (1985-1987),"WHEAT, Alan Dupree",MO,Democrat,House
100th (1987-1989),"CLAY, William Lacy, Sr.",MO,Democrat,House
100th (1987-1989),"COLLINS, Cardiss",IL,Democrat,House
100th (1987-1989),"CONYERS, John, Jr.",MI,Democrat,House
100th (1987-1989),"CROCKETT, George William, Jr.",MI,Democrat,House
100th (1987-1989),"DELLUMS, Ronald V.",CA,Democrat,House
100th (1987-1989),"DIXON, Julian Carey",CA,Democrat,House
100th (1987-1989),"DYMALLY, Mervyn Malcolm",CA,Democrat,House
100th (1987-1989),"ESPY, Alphonso Michael (Mike)",MS,Democrat,House
100th (1987-1989),"FAUNTROY, Walter Edward",DC,Democrat,House
100th (1987-1989),"FLAKE, Floyd Harold",NY,Democrat,House
100th (1987-1989),"FORD, Harold Eugene",TN,Democrat,House
100th (1987-1989),"GRAY, William Herbert, III",PA,Democrat,House
100th (1987-1989),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House
100th (1987-1989),"HAYES, Charles Arthur",IL,Democrat,House
100th (1987-1989),"LELAND, George Thomas (Mickey)",TX,Democrat,House
100th (1987-1989),"LEWIS, John R.",GA,Democrat,House
100th (1987-1989),"MFUME, Kweisi",MD,Democrat,House
100th (1987-1989),"OWENS, Major Robert Odell",NY,Democrat,House
100th (1987-1989),"RANGEL, Charles B.",NY,Democrat,House
100th (1987-1989),"SAVAGE, Gus",IL,Democrat,House
100th (1987-1989),"STOKES, Louis",OH,Democrat,House
100th (1987-1989),"TOWNS, Edolphus",NY,Democrat,House
100th (1987-1989),"WHEAT, Alan Dupree",MO,Democrat,House
101st (1989-1991),"CLAY, William Lacy, Sr.",MO,Democrat,House
101st (1989-1991),"COLLINS, Cardiss",IL,Democrat,House
101st (1989-1991),"CONYERS, John, Jr.",MI,Democrat,House
101st (1989-1991),"CROCKETT, George William, Jr.",MI,Democrat,House
101st (1989-1991),"DELLUMS, Ronald V.",CA,Democrat,House
101st (1989-1991),"DIXON, Julian Carey",CA,Democrat,House
101st (1989-1991),"DYMALLY, Mervyn Malcolm",CA,Democrat,House
101st (1989-1991),"ESPY, Alphonso Michael (Mike)",MS,Democrat,House
101st (1989-1991),"FAUNTROY, Walter Edward",DC,Democrat,House
101st (1989-1991),"FLAKE, Floyd Harold",NY,Democrat,House
101st (1989-1991),"FORD, Harold Eugene",TN,Democrat,House
101st (1989-1991),"GRAY, William Herbert, III",PA,Democrat,House
101st (1989-1991),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House
101st (1989-1991),"HAYES, Charles Arthur",IL,Democrat,House
101st (1989-1991),"LELAND, George Thomas (Mickey) 28",TX,Democrat,House
101st (1989-1991),"LEWIS, John R.",GA,Democrat,House
101st (1989-1991),"MFUME, Kweisi",MD,Democrat,House
101st (1989-1991),"OWENS, Major Robert Odell",NY,Democrat,House
101st (1989-1991),"PAYNE, Donald Milford",NJ,Democrat,House
101st (1989-1991),"RANGEL, Charles B.",NY,Democrat,House
101st (1989-1991),"SAVAGE, Gus",IL,Democrat,House
101st (1989-1991),"STOKES, Louis",OH,Democrat,House
101st (1989-1991),"TOWNS, Edolphus",NY,Democrat,House
101st (1989-1991),"WASHINGTON, Craig Anthony 29",TX,Democrat,House
101st (1989-1991),"WHEAT, Alan Dupree",MO,Democrat,House
102nd (1991-1993),"BLACKWELL, Lucien Edward 30",PA,Democrat,House
102nd (1991-1993),"CLAY, William Lacy, Sr.",MO,Democrat,House
102nd (1991-1993),"CLAYTON, Eva M. 31",NC,Democrat,House
102nd (1991-1993),"COLLINS, Barbara-Rose",MI,Democrat,House
102nd (1991-1993),"COLLINS, Cardiss",IL,Democrat,House
102nd (1991-1993),"CONYERS, John, Jr.",MI,Democrat,House
102nd (1991-1993),"DELLUMS, Ronald V.",CA,Democrat,House
102nd (1991-1993),"DIXON, Julian Carey",CA,Democrat,House
102nd (1991-1993),"DYMALLY, Mervyn Malcolm",CA,Democrat,House
102nd (1991-1993),"ESPY, Alphonso Michael (Mike)",MS,Democrat,House
102nd (1991-1993),"FLAKE, Floyd Harold",NY,Democrat,House
102nd (1991-1993),"FORD, Harold Eugene",TN,Democrat,House
102nd (1991-1993),"FRANKS, Gary A.",CT,Republican,House
102nd (1991-1993),"GRAY, William Herbert, III 32",PA,Democrat,House
102nd (1991-1993),"HAYES, Charles Arthur",IL,Democrat,House
102nd (1991-1993),"JEFFERSON, William Jennings",LA,Democrat,House
102nd (1991-1993),"LEWIS, John R.",GA,Democrat,House
102nd (1991-1993),"MFUME, Kweisi",MD,Democrat,House
102nd (1991-1993),"NORTON, Eleanor Holmes",DC,Democrat,House
102nd (1991-1993),"OWENS, Major Robert Odell",NY,Democrat,House
102nd (1991-1993),"PAYNE, Donald Milford",NJ,Democrat,House
102nd (1991-1993),"RANGEL, Charles B.",NY,Democrat,House
102nd (1991-1993),"SAVAGE, Gus",IL,Democrat,House
102nd (1991-1993),"STOKES, Louis",OH,Democrat,House
102nd (1991-1993),"TOWNS, Edolphus",NY,Democrat,House
102nd (1991-1993),"WASHINGTON, Craig Anthony",TX,Democrat,House
102nd (1991-1993),"WATERS, Maxine",CA,Democrat,House
102nd (1991-1993),"WHEAT, Alan Dupree",MO,Democrat,House
103rd (1993-1995),"BISHOP, Sanford Dixon, Jr.",GA,Democrat,House
103rd (1993-1995),"BLACKWELL, Lucien Edward",PA,Democrat,House
103rd (1993-1995),"BROWN, Corrine",FL,Democrat,House
103rd (1993-1995),"CLAY, William Lacy, Sr.",MO,Democrat,House
103rd (1993-1995),"CLAYTON, Eva M.",NC,Democrat,House
103rd (1993-1995),"CLYBURN, James Enos",SC,Democrat,House
103rd (1993-1995),"COLLINS, Barbara-Rose",MI,Democrat,House
103rd (1993-1995),"COLLINS, Cardiss",IL,Democrat,House
103rd (1993-1995),"CONYERS, John, Jr.",MI,Democrat,House
103rd (1993-1995),"DELLUMS, Ronald V.",CA,Democrat,House
103rd (1993-1995),"DIXON, Julian Carey",CA,Democrat,House
103rd (1993-1995),"ESPY, Alphonso Michael (Mike) 33",MS,Democrat,House
103rd (1993-1995),"FIELDS, Cleo",LA,Democrat,House
103rd (1993-1995),"FLAKE, Floyd Harold",NY,Democrat,House
103rd (1993-1995),"FORD, Harold Eugene",TN,Democrat,House
103rd (1993-1995),"FRANKS, Gary A.",CT,Republican,House
103rd (1993-1995),"HASTINGS, Alcee Lamar",FL,Democrat,House
103rd (1993-1995),"HILLIARD, Earl Frederick",AL,Democrat,House
103rd (1993-1995),"JEFFERSON, William Jennings",LA,Democrat,House
103rd (1993-1995),"JOHNSON, Eddie Bernice",TX,Democrat,House
103rd (1993-1995),"LEWIS, John R.",GA,Democrat,House
103rd (1993-1995),"MCKINNEY, Cynthia Ann",GA,Democrat,House
103rd (1993-1995),"MEEK, Carrie P.",FL,Democrat,House
103rd (1993-1995),"MFUME, Kweisi",MD,Democrat,House
103rd (1993-1995),"MOSELEY BRAUN, Carol",IL,Democrat,Senate
103rd (1993-1995),"NORTON, Eleanor Holmes",DC,Democrat,House
103rd (1993-1995),"OWENS, Major Robert Odell",NY,Democrat,House
103rd (1993-1995),"PAYNE, Donald Milford",NJ,Democrat,House
103rd (1993-1995),"RANGEL, Charles B.",NY,Democrat,House
103rd (1993-1995),"REYNOLDS, Mel",IL,Democrat,House
103rd (1993-1995),"RUSH, Bobby L.",IL,Democrat,House
103rd (1993-1995),"SCOTT, Robert C.",VA,Democrat,House
103rd (1993-1995),"STOKES, Louis",OH,Democrat,House
103rd (1993-1995),"THOMPSON, Bennie 34",MS,Democrat,House
103rd (1993-1995),"TOWNS, Edolphus",NY,Democrat,House
103rd (1993-1995),"TUCKER, Walter R., III",CA,Democrat,House
103rd (1993-1995),"WASHINGTON, Craig Anthony",TX,Democrat,House
103rd (1993-1995),"WATERS, Maxine",CA,Democrat,House
103rd (1993-1995),"WATT, Melvin L.",NC,Democrat,House
103rd (1993-1995),"WHEAT, Alan Dupree",MO,Democrat,House
103rd (1993-1995),"WYNN, Albert Russell",MD,Democrat,House
104th (1995-1997),"BISHOP, Sanford Dixon, Jr.",GA,Democrat,House
104th (1995-1997),"BROWN, Corrine",FL,Democrat,House
104th (1995-1997),"CLAY, William Lacy, Sr.",MO,Democrat,House
104th (1995-1997),"CLAYTON, Eva M.",NC,Democrat,House
104th (1995-1997),"CLYBURN, James Enos",SC,Democrat,House
104th (1995-1997),"COLLINS, Barbara-Rose",MI,Democrat,House
104th (1995-1997),"COLLINS, Cardiss",IL,Democrat,House
104th (1995-1997),"CONYERS, John, Jr.",MI,Democrat,House
104th (1995-1997),"CUMMINGS, Elijah Eugene 35",MD,Democrat,House
104th (1995-1997),"DELLUMS, Ronald V.",CA,Democrat,House
104th (1995-1997),"DIXON, Julian Carey",CA,Democrat,House
104th (1995-1997),"FATTAH, Chaka",PA,Democrat,House
104th (1995-1997),"FIELDS, Cleo",LA,Democrat,House
104th (1995-1997),"FLAKE, Floyd Harold",NY,Democrat,House
104th (1995-1997),"FORD, Harold Eugene",TN,Democrat,House
104th (1995-1997),"FRANKS, Gary A.",CT,Republican,House
104th (1995-1997),"FRAZER, Victor O.",VI,Independent,House
104th (1995-1997),"HASTINGS, Alcee Lamar",FL,Democrat,House
104th (1995-1997),"HILLIARD, Earl Frederick",AL,Democrat,House
104th (1995-1997),"JACKSON, Jesse L., Jr. 36",IL,Democrat,House
104th (1995-1997),"JACKSON LEE, Sheila",TX,Democrat,House
104th (1995-1997),"JEFFERSON, William Jennings",LA,Democrat,House
104th (1995-1997),"JOHNSON, Eddie Bernice",TX,Democrat,House
104th (1995-1997),"LEWIS, John R.",GA,Democrat,House
104th (1995-1997),"MCKINNEY, Cynthia Ann",GA,Democrat,House
104th (1995-1997),"MEEK, Carrie P.",FL,Democrat,House
104th (1995-1997),"MFUME, Kweisi 37",MD,Democrat,House
104th (1995-1997),"MILLENDER-MCDONALD, Juanita 38",CA,Democrat,House
104th (1995-1997),"MOSELEY BRAUN, Carol",IL,Democrat,Senate
104th (1995-1997),"NORTON, Eleanor Holmes",DC,Democrat,House
104th (1995-1997),"OWENS, Major Robert Odell",NY,Democrat,House
104th (1995-1997),"PAYNE, Donald Milford",NJ,Democrat,House
104th (1995-1997),"RANGEL, Charles B.",NY,Democrat,House
104th (1995-1997),"REYNOLDS, Mel 39",IL,Democrat,House
104th (1995-1997),"RUSH, Bobby L.",IL,Democrat,House
104th (1995-1997),"SCOTT, Robert C.",VA,Democrat,House
